Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_confsens,CohortsHarvested_confrslt,CohortsHarvested_brdlsens,CohortsHarvested_brdlrslt,BiomassHarvestedMg_confsens,BiomassHarvestedMg_confrslt,BiomassHarvestedMg_brdlsens,BiomassHarvestedMg_brdlrslt,
10, 1, MM2-1_DO1, 1, 49, 122, 16275, 100, 76, 1123.84, 14.79, 226, 0, 132, 94, 0, 0, 565.459999999999, 558.38, 0, 0, 
10, 1, MM2-1_DO1, 11, 24, 123, 22786, 100, 76, 1083.35, 14.25, 223, 0, 130, 93, 0, 0, 546.66, 536.69, 0, 0, 
10, 1, MM2-1_DO1, 21, 45, 122, 16275, 100, 76, 1126.33, 14.82, 225, 0, 133, 92, 0, 0, 575.209999999999, 551.12, 0, 0, 
10, 1, MM2-1_DO1, 31, 75, 127, 8138, 100, 92, 1286.6, 13.98, 291, 0, 41, 32, 89, 129, 193.65, 220.86, 405.14, 466.95, 
10, 1, MM2-1_DO1, 41, 76, 128, 8138, 100, 100, 1209.5, 12.1, 303, 0, 0, 0, 121, 182, 0, 0, 572, 637.5, 
10, 1, MM2-1_DO1, 51, 6, 130, 26545, 100, 100, 1174.16, 11.74, 298, 0, 0, 0, 118, 180, 0, 0, 553.12, 621.04, 
10, 1, MM1-1_DO1, 61, 61, 129, 687, 100, 100, 4687.55, 46.88, 489, 0, 94, 77, 194, 124, 661.97, 404.15, 2796.4, 825.03, 
10, 1, MM1-1_DO1, 71, 13, 123, 997, 100, 100, 4679.18, 46.79, 750, 0, 233, 203, 216, 98, 1597.15, 1163.02, 1726.08, 192.93, 
10, 1, MM1-1_DO1, 81, 35, 121, 978, 100, 100, 4692.26, 46.92, 734, 0, 232, 185, 218, 99, 1550.06, 949.09, 1995.98, 197.13, 
10, 1, MM1-1_DO1, 91, 34, 122, 980, 100, 100, 4701.06, 47.01, 735, 0, 226, 192, 218, 99, 1485.65, 1064.85, 1956.8, 193.76, 
10, 1, MM1-1_DO1, 2, 80, 118, 594, 100, 100, 4461.65, 44.62, 381, 0, 159, 222, 0, 0, 1792.1, 2669.55, 0, 0, 
10, 1, MM1-1_DO1, 12, 77, 120, 616, 100, 100, 4477.63, 44.78, 395, 0, 164, 231, 0, 0, 1787.63, 2690, 0, 0, 
10, 1, MM2-1_DO1, 22, 33, 123, 22786, 100, 77, 1260.88, 16.38, 244, 0, 141, 103, 0, 0, 614.059999999999, 646.82, 0, 0, 
10, 1, MM2-1_DO1, 32, 55, 126, 14648, 100, 91, 1153.97, 12.68, 268, 0, 40, 28, 71, 129, 185.81, 190.75, 339.12, 438.29, 
10, 1, MM2-1_DO1, 42, 70, 132, 13272, 100, 100, 1202.4, 12.02, 306, 0, 0, 0, 128, 178, 0, 0, 588.06, 614.34, 
